rank,graph6,n,edges,alpha,theta_hi,delta_hi,theta_bulk,solver_diff,pr_hi,status_hi,chi_comp
544,JCRbdO{~dz?,11,29,3,3.6666666870,0.6666666870,3.6666666804,6.590e-09,3.193e-09,optimal,4
545,JCRbdO{|vf?,11,29,3,3.6666666869,0.6666666869,3.6666666853,1.652e-09,2.000e-09,optimal,4
546,JCRbdO{{d}_,11,28,3,3.6666666869,0.6666666869,3.6666666830,3.845e-09,2.079e-09,optimal,4
547,JCRbdO{{`n?,11,26,3,3.6666666868,0.6666666868,3.6666666789,7.872e-09,1.952e-09,optimal,4
548,JCRbdO{|Nz_,11,30,3,3.6666666868,0.6666666868,3.6666666997,1.297e-08,3.492e-09,optimal,4
549,JCQbfP[r`]_,11,26,3,3.6666666867,0.6666666867,3.6666666784,8.294e-09,2.338e-09,optimal,4
550,JCRbdO{{cv?,11,26,3,3.6666666867,0.6666666867,3.6666666906,3.970e-09,3.076e-09,optimal,4
551,JCRbdO{{fv?,11,28,3,3.6666666866,0.6666666866,3.6666666964,9.735e-09,2.665e-09,optimal,4
552,JCRbdO{{dZ?,11,26,3,3.6666666866,0.6666666866,3.6666666811,5.519e-09,2.439e-09,optimal,4
553,JCQeV`[MfN?,11,26,3,3.6666666866,0.6666666866,3.6666666834,3.244e-09,3.114e-09,optimal,4
554,JCRbdO{}v}_,11,31,3,3.6666666866,0.6666666866,3.6666666793,7.269e-09,3.590e-09,optimal,4
555,JCRbdO{lJ[_,11,26,3,3.6666666864,0.6666666864,3.6666666840,2.369e-09,1.925e-09,optimal,4
556,JCRbdO{{fL?,11,26,3,3.6666666863,0.6666666863,3.6666666818,4.555e-09,1.796e-09,optimal,4
557,JCRbdO{^fZ_,11,29,3,3.6666666861,0.6666666861,3.6666666798,6.271e-09,3.110e-09,optimal,4
558,JCQeV`[Mff?,11,26,3,3.6666666860,0.6666666860,3.6666666942,8.192e-09,1.920e-09,optimal,4
559,JCRbdO{uv}?,11,29,3,3.6666666860,0.6666666860,3.6666667057,1.970e-08,2.479e-09,optimal,4
560,JCRbdO{~fr_,11,30,3,3.6666666860,0.6666666860,3.6666666850,9.767e-10,2.202e-09,optimal,4
561,JCRbdO{zb}?,11,28,3,3.6666666859,0.6666666859,3.6666666817,4.221e-09,1.906e-09,optimal,4
562,JCRbdO{lM^?,11,27,3,3.6666666859,0.6666666859,3.6666666889,3.052e-09,1.922e-09,optimal,4
563,JCRbdO{{dq_,11,26,3,3.6666666858,0.6666666858,3.6666666966,1.075e-08,2.433e-09,optimal,4
