G???F{,8,7,7,6.999999996999895,-3.0001050532746376e-09,True,7,0.0007669890183024108,solved,4.107825191113079e-15
G??CFw,8,7,6,5.999999995723812,-4.276188292351435e-09,True,6,0.0018323929980397224,solved,5.411235693289628e-10
G??CF{,8,8,6,5.999999999962249,-3.775113555093412e-11,True,6,0.001569415006088093,solved,4.440892098500626e-16
G??E@{,8,7,6,5.999999995406245,-4.593754709958375e-09,True,6,0.001678254979196936,solved,2.115567952208952e-10
G??EDw,8,7,6,5.99999996981033,-3.018967031920283e-08,True,6,0.0011394540197215974,solved,2.241318242113266e-12
G??ED{,8,8,6,5.999999996117386,-3.882614230121817e-09,True,6,0.0010004330251831561,solved,1.3621702987895804e-10
G??EFw,8,8,6,5.99999999865159,-1.3484102723282376e-09,True,6,0.0017367690161336213,solved,3.7474525606562755e-10
G??EF{,8,9,6,5.999999981937058,-1.8062942253038727e-08,True,6,0.0013832839904353023,solved,1.38267175486817e-12
G??F?{,8,7,6,6.0000000270090075,2.7009007474987357e-08,True,6,0.0019862680055666715,solved,1.4420819506520498e-09
G??FCw,8,7,6,5.999999999204645,-7.953548930572651e-10,True,6,0.0020630370127037168,solved,9.5482415230211e-11
G??FC{,8,8,6,5.999999921714874,-7.828512593732739e-08,True,6,0.002004069014219567,solved,5.9651172890085036e-12
G??FEw,8,8,6,5.999999990020695,-9.979305382046277e-09,True,6,0.001862815988715738,solved,1.5879634286572256e-10
G??FE{,8,9,6,6.000000015208443,1.520844339353289e-08,True,6,0.0018842919962480664,solved,7.352684858376489e-10
G??FFw,8,9,6,5.999999999356129,-6.438707345068906e-10,True,6,0.0025099609920289367,solved,2.215424281161608e-12
G??FF{,8,10,6,6.0000000014451995,1.4451995156150588e-09,True,6,0.0016349700163118541,solved,2.0745471149217053e-10
G??FeW,8,8,6,5.999999941578608,-5.8421392168384045e-08,True,6,0.0020470079907681793,solved,4.473310610819681e-12
G??Fe[,8,9,6,6.000000007306409,7.306408811302845e-09,True,6,0.0018670269928406924,solved,6.417484190074239e-10
G??FfW,8,9,6,5.999999945175785,-5.4824215389714936e-08,True,6,0.0018782719853334129,solved,2.4622438291406313e-10
G??Ff[,8,10,6,5.999999962837348,-3.716265162267973e-08,True,6,0.0021732919849455357,solved,2.687849942617504e-12
G??Ffw,8,10,6,5.999999991730307,-8.269693374529652e-09,True,6,0.001882247015601024,solved,6.840084054715589e-13
G??Ff{,8,11,6,6.000000007394084,7.394083567646703e-09,True,6,0.0011087220045737922,solved,3.3750501629127606e-10
G??Fvg,8,10,6,6.000000067454174,6.745417380216168e-08,True,6,0.0014406889968086034,solved,2.9314393060793335e-09
G??Fvk,8,11,6,6.000000004611428,4.611427684153568e-09,True,6,0.001141359010944143,solved,4.0173090758646367e-10
G??Fvw,8,11,6,6.000000002685606,2.6856064039293415e-09,True,6,0.0010952090087812394,solved,4.9116231295941626e-09
G??Fv{,8,12,6,5.999999994066385,-5.9336153768185795e-09,True,6,0.0008772099972702563,solved,1.7219807704020503e-09
G??F~w,8,12,6,5.999999999172462,-8.275380380950992e-10,True,6,0.00026659402647055686,solved,2.8433487736382036e-11
G??F~{,8,13,6,6.00000000165428,1.654280268326147e-09,True,6,0.00016591898747719824,solved,2.8669240607403693e-10
G?AAFo,8,7,5,4.999999996010892,-3.989107710822282e-09,True,5,0.0013532500015571713,solved,7.410504755001774e-12
G?AAFw,8,8,5,4.999999980593221,-1.940677929468393e-08,True,5,0.001392532984027639,solved,5.267856492176944e-09
G?AAF{,8,9,5,4.9999999956714865,-4.3285135475912284e-09,True,5,0.000692155008437112,solved,3.10814604754299e-11
G?ABCs,8,7,5,4.999999996399209,-3.6007907766588687e-09,True,5,0.0016707120230421424,solved,2.0219090899087532e-10
G?ABC{,8,8,5,5.000000013787433,1.3787433417178363e-08,True,5,0.0012726529967039824,solved,1.3580557604646698e-09
G?ABEo,8,7,5,4.999999997565547,-2.4344526394770583e-09,True,5,0.0016167249996215105,solved,4.3021552858819463e-10
G?ABEs,8,8,5,5.000000021139009,2.1139008765658218e-08,True,5,0.0015057340206112713,solved,2.744889069155766e-09
G?ABEw,8,8,5,4.999999977564205,-2.2435795443698225e-08,True,5,0.0009924090118147433,solved,1.4910324457711258e-10
G?ABE{,8,9,5,4.999999996032774,-3.96722565909613e-09,True,5,0.0010472440044395626,solved,4.732150042882309e-10
G?ABFo,8,8,5,4.999999982766542,-1.7233458216026065e-08,True,5,0.0017079310200642794,solved,2.273610398292053e-09
G?ABFs,8,9,5,5.000000015784099,1.578409936087155e-08,True,5,0.0017363049846608192,solved,3.1456884653642083e-09
G?ABFw,8,9,5,4.999999988059842,-1.1940158195500317e-08,True,5,0.0012579140020534396,solved,6.522715913005092e-11
G?ABF{,8,10,5,4.999999968377757,-3.1622242602225015e-08,True,5,0.0014100309927016497,solved,1.3167245072054357e-12
G?ABc[,8,8,5,4.999999984044891,-1.5955109233800613e-08,True,5,0.001784677995601669,solved,4.652944696204031e-13
