graph6,n,edges,alpha,theta,delta,perfect,chi_comp,solve_time,status,pr
FCZfO,7,10,3,3.0000000190651632,1.906516322591756e-08,True,3,0.0013302699953783303,solved,3.5353437608449734e-09
FCZfW,7,11,3,2.999999997883161,-2.1168391484138738e-09,True,3,0.0014035280037205666,solved,7.566079744282732e-11
FCZf_,7,10,3,3.000000002721768,2.7217681441982222e-09,True,3,0.0018401739944238216,solved,2.6108025321296944e-10
FCZfg,7,11,3,2.999999989073961,-1.0926039184511183e-08,True,3,0.0015613249852322042,solved,7.633893517322576e-13
FCZfo,7,11,3,2.9999999955971255,-4.402874509423782e-09,True,3,0.001500262995250523,solved,3.1796787425264483e-13
FCZfw,7,12,3,3.0000000028159697,2.815969679659247e-09,True,3,0.0010846249933820218,solved,3.364412507888189e-10
FCZjw,7,12,3,2.9999999916378264,-8.362173620213298e-09,True,3,0.001542134996270761,solved,1.482591827084434e-12
FCZmw,7,12,3,2.9999999989878,-1.012200101513372e-09,True,3,0.0015663620142731816,solved,1.6196482045595986e-10
FCZnW,7,12,3,3.000000005478414,5.478414166759649e-09,True,3,0.0015323830011766404,solved,6.535910809899135e-10
FCZn_,7,11,3,2.999999998605928,-1.394071968974231e-09,True,3,0.0015093990077730268,solved,1.5793085343843355e-10
FCZng,7,12,3,2.9999999976075107,-2.3924893177706963e-09,True,3,0.0014817109913565218,solved,2.2012367527602492e-10
FCZno,7,12,3,2.999999996987414,-3.0125861805174736e-09,True,3,0.0013826040085405111,solved,2.0494677606108623e-10
FCZnw,7,13,3,2.9999999927535166,-7.246483413325677e-09,True,3,0.0011701860057655722,solved,1.0783596238184145e-12
FCZv_,7,11,3,3.000000005201709,5.201708841440222e-09,True,3,0.0023159609991125762,solved,2.2635211209345152e-09
FCZvg,7,12,3,2.999999994998042,-5.001957958938874e-09,True,3,0.0009928910003509372,solved,9.754419494356625e-13
FCZvo,7,12,3,2.99999998843469,-1.1565310042982446e-08,True,3,0.0010336800187360495,solved,1.2740919430598296e-12
FCZvw,7,13,3,2.9999999952472742,-4.752725768497612e-09,True,3,0.0007289779896382242,solved,7.925882172798993e-13
FCZ~o,7,13,3,2.9999999911249455,-8.875054469115184e-09,True,3,0.0007818219892214984,solved,7.816964971410692e-11
FCZ~w,7,14,3,3.000000003730545,3.73054520608207e-09,True,3,0.0006870159995742142,solved,1.0936503001947271e-09
FCdcg,7,8,4,3.999999995704377,-4.295622968442103e-09,True,4,0.0011927580053452402,solved,2.785759310809427e-10
FCdcw,7,9,3,3.0000000007035745,7.035745319683429e-10,True,3,0.0016370019875466824,solved,7.222792552750065e-11
FCdeG,7,8,3,2.9999999927988763,-7.201123697342382e-09,True,3,0.0011307040113024414,solved,2.6080605062597227e-10
FCde_,7,8,3,2.999999996526786,-3.4732141607207723e-09,True,3,0.0014810739958193153,solved,3.1439974130888485e-10
FCdeg,7,9,3,2.999999992839629,-7.160370962822071e-09,True,3,0.00134578300639987,solved,7.133459211802399e-11
FCdeo,7,9,3,2.9999999867910834,-1.3208916627149847e-08,True,3,0.0013117750058881938,solved,1.1753931161706532e-12
FCdew,7,10,3,2.9999999868829894,-1.3117010588814537e-08,True,3,0.001287124992813915,solved,4.806155473602303e-13
FCdfG,7,9,3,3.000000001873791,1.873790900219774e-09,True,3,0.001260563003597781,solved,2.2522091347741952e-10
FCdf_,7,9,3,3.0000000075959705,7.59597051924743e-09,True,3,0.001866923994384706,solved,1.0209443104070202e-09
FCdfg,7,10,3,2.9999999958124555,-4.187544533351684e-09,True,3,0.0013802199973724782,solved,6.557298992538763e-12
FCdfo,7,10,3,3.0000000040373336,4.037333578565949e-09,True,3,0.001425380993168801,solved,1.0146975118128425e-09
FCdfw,7,11,3,2.999999993017069,-6.98293112222359e-09,True,3,0.0012146009830757976,solved,3.9535041906901824e-13
FCe^o,7,11,3,2.9999999829842956,-1.7015704401046605e-08,True,3,0.0016699850093573332,solved,1.4211387622346605e-10
FCe^w,7,12,3,3.0000000000682463,6.824629750212807e-11,True,3,0.0014450959861278534,solved,6.319886641742419e-12
FCf\w,7,12,3,2.9999999984105026,-1.5894974225716396e-09,True,3,0.0013037989847362041,solved,3.5949529637417636e-10
FCf^o,7,12,3,2.9999999991172066,-8.827933939414834e-10,True,3,0.001157463004346937,solved,1.8923109321276241e-10
FCf^w,7,13,3,3.000000003756162,3.756162048063061e-09,True,3,0.0008033959893509746,solved,6.661653991508378e-10
FCfuw,7,12,3,3.0000000173757813,1.7375781258266443e-08,True,3,0.0015687340055592358,solved,2.043181549477159e-09
FCfvW,7,12,3,3.0000000000552682,5.526823443346984e-11,True,3,0.0016613629995845258,solved,7.224641760826597e-11
FCfvg,7,12,3,3.0000000035156815,3.515681523680314e-09,True,3,0.0016968600102700293,solved,1.1395620820312585e-09
FCfvo,7,12,3,3.000000030190225,3.0190224986625935e-08,True,3,0.001570954016642645,solved,3.3665626308709843e-09
FCfvw,7,13,3,2.999999998485693,-1.5143069020950861e-09,True,3,0.0014319820038508624,solved,1.9040324872321435e-13
