rank,graph6,n,edges,alpha,theta_hi,delta_hi,theta_bulk,solver_diff,pr_hi,status_hi,perfect,chi_comp
209,HCQbdqn,9,17,3,3.3722813403,0.3722813403,3.372281322582092,1.770e-08,1.889e-09,optimal,False,4
210,HCRbfP{,9,17,3,3.3722813403,0.3722813403,3.3722813165599415,2.371e-08,2.286e-09,optimal,False,4
211,HCQbeUx,9,16,3,3.3722813402,0.3722813402,3.3722813280865536,1.216e-08,2.974e-09,optimal,False,4
212,HCRbcqs,9,15,3,3.3722813400,0.3722813400,3.372281335162896,4.841e-09,1.929e-09,optimal,False,4
213,HCQbeS|,9,16,3,3.3722813397,0.3722813397,3.372281326044817,1.370e-08,2.641e-09,optimal,False,4
214,HCQbdrq,9,16,3,3.3722813393,0.3722813393,3.372281323406262,1.594e-08,1.347e-09,optimal,False,4
215,HCRbcq{,9,16,3,3.3722813392,0.3722813392,3.3722813359157238,3.297e-09,1.566e-09,optimal,False,4
216,HCQfQzK,9,16,3,3.3722813391,0.3722813391,3.3722813276640156,1.142e-08,1.989e-09,optimal,False,4
217,HCRbdq{,9,17,3,3.3722813390,0.3722813390,3.3722813727991814,3.375e-08,1.828e-09,optimal,False,4
218,HCQbdYx,9,16,3,3.3722813388,0.3722813388,3.3722813250378256,1.380e-08,3.102e-09,optimal,False,4
219,HCQdbi[,9,15,3,3.3722813386,0.3722813386,3.3722813340980475,4.487e-09,1.319e-09,optimal,False,4
220,HCRbfIm,9,17,3,3.3722813383,0.3722813383,3.3722813257179034,1.261e-08,1.553e-09,optimal,False,4
221,HCQ`fP{,9,15,3,3.3722813382,0.3722813382,3.3722813230250006,1.521e-08,1.548e-09,optimal,False,4
222,HCRb`zL,9,17,3,3.3722813380,0.3722813380,3.3722813164073018,2.164e-08,2.552e-09,optimal,False,4
223,HCQbcs|,9,16,3,3.3722813380,0.3722813380,3.3722813350992733,2.895e-09,1.510e-09,optimal,False,4
224,HCQbRc},9,16,3,3.3722813379,0.3722813379,3.372281323347569,1.460e-08,1.931e-09,optimal,False,4
225,HCQbdrr,9,17,3,3.3722813377,0.3722813377,3.372281311033979,2.671e-08,2.226e-09,optimal,False,4
226,HCQberI,9,15,3,3.3722813375,0.3722813375,3.372281330305833,7.165e-09,2.597e-09,optimal,False,4
227,HCpb`x\,9,17,3,3.3722813374,0.3722813374,3.3722813286926074,8.712e-09,1.738e-09,optimal,False,4
228,HCOedr[,9,15,3,3.3722813374,0.3722813374,3.372281327891755,9.471e-09,1.804e-09,optimal,False,4
229,HCQbdpz,9,17,3,3.3722813373,0.3722813373,3.372281328451471,8.821e-09,1.879e-09,optimal,False,4
230,HCQbRey,9,16,3,3.3722813371,0.3722813371,3.372281330087117,7.060e-09,1.872e-09,optimal,False,4
231,HCQbdrl,9,17,3,3.3722813368,0.3722813368,3.372281322383859,1.446e-08,2.294e-09,optimal,False,4
232,HCRb`z{,9,18,3,3.3722813368,0.3722813368,3.372281334560231,2.215e-09,1.080e-09,optimal,False,4
233,HCRbfG|,9,17,3,3.3722813367,0.3722813367,3.3722813255841624,1.110e-08,1.409e-09,optimal,False,4
234,HCQv@rR,9,16,3,3.3722813364,0.3722813364,3.3722813259242517,1.045e-08,1.499e-09,optimal,False,4
235,HCQeR`{,9,15,3,3.3722813362,0.3722813362,3.3722813269062786,9.295e-09,1.892e-09,optimal,False,4
236,HCQTbI{,9,15,3,3.3722813361,0.3722813361,3.372281326829475,9.256e-09,1.839e-09,optimal,False,4
237,HCQbdqu,9,16,3,3.3722813361,0.3722813361,3.3722813372284035,1.171e-09,1.982e-09,optimal,False,4
238,HCRb`zk,9,17,3,3.3722813357,0.3722813357,3.3722813444219337,8.751e-09,1.459e-09,optimal,False,4
239,HCQbdq|,9,17,3,3.3722813355,0.3722813355,3.3722813293995064,6.149e-09,1.845e-09,optimal,False,4
240,HCpb`zT,9,17,3,3.3722813351,0.3722813351,3.3722813207394915,1.431e-08,1.469e-09,optimal,False,4
241,HCQe`rr,9,16,3,3.3722813349,0.3722813349,3.3722813334651334,1.474e-09,1.766e-09,optimal,False,4
242,HCpb`zs,9,17,3,3.3722813349,0.3722813349,3.372281319391488,1.553e-08,1.345e-09,optimal,False,4
243,HCrbrqj,9,19,3,3.3722813349,0.3722813349,3.3722813174736403,1.744e-08,4.379e-09,optimal,False,4
244,HCRb`zV,9,18,3,3.3722813349,0.3722813349,3.372281310558969,2.432e-08,1.476e-09,optimal,False,4
245,HCQbdpm,9,16,3,3.3722813348,0.3722813348,3.3722813292673206,5.538e-09,1.579e-09,optimal,False,4
246,HCQe`rL,9,15,3,3.3722813348,0.3722813348,3.372281317850082,1.694e-08,2.260e-09,optimal,False,4
247,HCQbdpv,9,17,3,3.3722813347,0.3722813347,3.3722813164209757,1.829e-08,1.649e-09,optimal,False,4
248,HCRV@rK,9,15,3,3.3722813347,0.3722813347,3.3722813299230765,4.749e-09,1.338e-09,optimal,False,4
249,HCQe`re,9,15,3,3.3722813346,0.3722813346,3.3722813302268926,4.375e-09,3.240e-09,optimal,False,4
250,HCQe`ql,9,15,3,3.3722813344,0.3722813344,3.3722813447632873,1.034e-08,1.487e-09,optimal,False,4
251,HCRb`zi,9,17,3,3.3722813342,0.3722813342,3.3722813222188095,1.197e-08,1.015e-09,optimal,False,4
252,HCQbbri,9,16,3,3.3722813341,0.3722813341,3.372281324443443,9.649e-09,1.159e-09,optimal,False,4
