rank,graph6,n,edges,alpha,theta_hi,delta_hi,theta_bulk,solver_diff,pr_hi,status_hi,chi_comp
1,ICRb`yiu?,10,20,3,3.7071067934,0.7071067934,3.7071068006,7.227e-09,1.562e-09,optimal,4
2,ICQeR`[Mg,10,19,3,3.6671550785,0.6671550785,3.6671550624,1.608e-08,1.637e-09,optimal,4
3,ICRbcqhNO,10,20,3,3.6666667242,0.6666667242,3.6666666601,6.404e-08,3.888e-09,optimal,4
4,ICQ`fP[r_,10,19,3,3.6666667139,0.6666667139,3.6666666793,3.453e-08,3.840e-09,optimal,4
5,ICRbdO{xG,10,20,3,3.6666667117,0.6666667117,3.6666666829,2.874e-08,4.144e-09,optimal,4
6,ICRbdO{|g,10,22,3,3.6666667040,0.6666667040,3.6666666813,2.265e-08,3.984e-09,optimal,4
7,ICRbdO{z_,10,21,3,3.6666666979,0.6666666979,3.6666666643,3.364e-08,5.811e-09,optimal,4
8,ICRbdO{~o,10,23,3,3.6666666971,0.6666666971,3.6666667096,1.250e-08,3.128e-09,optimal,4
9,ICRbdO{~w,10,24,3,3.6666666947,0.6666666947,3.6666666682,2.651e-08,3.067e-09,optimal,4
10,ICRbdO{}_,10,21,3,3.6666666910,0.6666666910,3.6666666823,8.777e-09,2.577e-09,optimal,4
11,ICRbdO{}o,10,22,3,3.6666666902,0.6666666902,3.6666667067,1.651e-08,3.204e-09,optimal,4
12,ICRbdO{~G,10,22,3,3.6666666858,0.6666666858,3.6666666759,9.959e-09,2.648e-09,optimal,4
13,ICRbdO{^_,10,21,3,3.6666666857,0.6666666857,3.6666666643,2.137e-08,1.599e-09,optimal,4
14,ICRbdO{|G,10,21,3,3.6666666816,0.6666666816,3.6666666739,7.655e-09,2.324e-09,optimal,4
15,ICRbdO{u_,10,20,3,3.6666666814,0.6666666814,3.6666666802,1.215e-09,2.027e-09,optimal,4
16,ICRbdO{~_,10,22,3,3.6666666791,0.6666666791,3.6666666822,3.110e-09,1.135e-09,optimal,4
17,ICRbdO{zg,10,22,3,3.6666666790,0.6666666790,3.6666666759,3.099e-09,1.682e-09,optimal,4
18,ICRbdO{x_,10,20,3,3.6666666783,0.6666666783,3.6666666537,2.463e-08,1.378e-09,optimal,4
19,ICRbdO{{_,10,20,3,3.6666666759,0.6666666759,3.6666666606,1.533e-08,1.158e-09,optimal,4
20,ICRbdO{xo,10,21,3,3.6666666750,0.6666666750,3.6666666720,2.990e-09,8.734e-10,optimal,4
21,ICQbfP[r_,10,20,3,3.6666666744,0.6666666744,3.6666666536,2.084e-08,7.113e-10,optimal,4
22,ICRbdO{lg,10,21,3,3.6666666743,0.6666666743,3.6666666818,7.501e-09,9.045e-10,optimal,4
23,ICRbcqhN?,10,19,3,3.6666666741,0.6666666741,3.6666666665,7.615e-09,1.873e-09,optimal,4
24,ICRbdO{|_,10,21,3,3.6666666737,0.6666666737,3.6666666760,2.288e-09,8.887e-10,optimal,4
25,ICRbdO{lG,10,20,3,3.6666666729,0.6666666729,3.6666666791,6.151e-09,5.107e-10,optimal,4
26,ICRbdO{~g,10,23,3,3.6666666725,0.6666666725,3.6666666690,3.511e-09,6.429e-10,optimal,4
27,ICRbdO{|o,10,22,3,3.6666666706,0.6666666706,3.6666666647,5.969e-09,4.523e-10,optimal,4
28,ICRbdO{\_,10,20,3,3.6666666703,0.6666666703,3.6666666599,1.046e-08,6.801e-10,optimal,4
29,ICRbdO{v_,10,21,3,3.6666666689,0.6666666689,3.6666666724,3.511e-09,2.466e-10,optimal,4
30,ICRbdO{uo,10,21,3,3.6666666672,0.6666666672,3.6666666784,1.119e-08,3.687e-10,optimal,4
31,ICRb`yi}?,10,21,3,3.6364050017,0.6364050017,3.6364049346,6.712e-08,4.285e-09,optimal,4
32,ICQbfP[MW,10,20,3,3.6272019564,0.6272019564,3.6272019418,1.453e-08,3.800e-09,optimal,4
33,ICQbdp[r_,10,20,3,3.6180934560,0.6180934560,3.6180934427,1.330e-08,3.213e-10,optimal,4
34,ICRb`yiHw,10,21,3,3.6180340593,0.6180340593,3.6180339917,6.759e-08,5.333e-09,optimal,4
35,ICR`szot_,10,21,3,3.6180340566,0.6180340566,3.6180339904,6.615e-08,5.670e-09,optimal,4
36,ICRb`yi\o,10,22,3,3.6180340565,0.6180340565,3.6180339970,5.949e-08,4.708e-09,optimal,4
37,ICQbvP[r_,10,21,3,3.6180340517,0.6180340517,3.6180339889,6.282e-08,4.793e-09,optimal,4
38,ICRb`yi|w,10,24,3,3.6180340383,0.6180340383,3.6180339921,4.626e-08,5.053e-09,optimal,4
39,ICRb`yitO,10,21,3,3.6180340338,0.6180340338,3.6180340036,3.019e-08,4.455e-09,optimal,4
40,ICRb`yilw,10,23,3,3.6180340296,0.6180340296,3.6180339705,5.907e-08,4.755e-09,optimal,4
41,ICRb`yiro,10,22,3,3.6180340266,0.6180340266,3.6180339973,2.925e-08,4.908e-09,optimal,4
42,ICpbdq[tO,10,21,3,3.6180340242,0.6180340242,3.6180340093,1.482e-08,4.302e-09,optimal,4
43,ICRb`yit_,10,21,3,3.6180340236,0.6180340236,3.6180339890,3.465e-08,3.621e-09,optimal,4
44,ICRb`yidw,10,22,3,3.6180340217,0.6180340217,3.6180339981,2.364e-08,4.859e-09,optimal,4
45,ICRb`yi~?,10,22,3,3.6180340202,0.6180340202,3.6180339833,3.686e-08,3.893e-09,optimal,4
46,ICpbfG{TW,10,21,3,3.6180340155,0.6180340155,3.6180340013,1.424e-08,3.419e-09,optimal,4
