rank,graph6,n,edges,alpha,theta_hi,delta_hi,theta_bulk,solver_diff,pr_hi,status_hi,chi_comp
47,ICRb`yihw,10,22,3,3.6180340154,0.6180340154,3.6180339998,1.569e-08,3.688e-09,optimal,4
48,ICRb`yito,10,22,3,3.6180340144,0.6180340144,3.6180340006,1.379e-08,2.641e-09,optimal,4
49,ICRb`yido,10,21,3,3.6180340139,0.6180340139,3.6180339901,2.383e-08,3.691e-09,optimal,4
50,ICRb`yivw,10,24,3,3.6180340136,0.6180340136,3.6180339889,2.469e-08,2.201e-09,optimal,4
51,ICpbfG{j_,10,21,3,3.6180340121,0.6180340121,3.6180340066,5.516e-09,1.779e-09,optimal,4
52,ICRb`yivO,10,22,3,3.6180340066,0.6180340066,3.6180339996,6.990e-09,2.394e-09,optimal,4
53,ICRb`yi|_,10,22,3,3.6180340062,0.6180340062,3.6180339866,1.963e-08,1.946e-09,optimal,4
54,ICRb`yi~w,10,25,3,3.6180340059,0.6180340059,3.6180339915,1.448e-08,1.574e-09,optimal,4
55,ICRb`yilo,10,22,3,3.6180340039,0.6180340039,3.6180339836,2.032e-08,2.068e-09,optimal,4
56,ICRb`yi|o,10,23,3,3.6180340038,0.6180340038,3.6180339845,1.936e-08,1.635e-09,optimal,4
57,ICQ`fP{r_,10,20,3,3.6180340023,0.6180340023,3.6180339616,4.072e-08,1.088e-09,optimal,4
58,ICQeV`[Mg,10,20,3,3.6180340016,0.6180340016,3.6180339812,2.043e-08,1.465e-09,optimal,4
59,ICRb`yiv?,10,21,3,3.6180340012,0.6180340012,3.6180339964,4.833e-09,8.532e-10,optimal,4
60,ICRb`yi~_,10,23,3,3.6180340010,0.6180340010,3.6180339915,9.417e-09,1.072e-09,optimal,4
61,ICRb`yi~o,10,24,3,3.6180339997,0.6180339997,3.6180339998,9.776e-11,9.180e-10,optimal,4
62,ICRb`yiz_,10,22,3,3.6180339986,0.6180339986,3.6180339997,1.155e-09,1.265e-09,optimal,4
63,ICRb`yizo,10,23,3,3.6180339972,0.6180339972,3.6180339921,5.089e-09,1.098e-09,optimal,4
64,ICRb`yir_,10,21,3,3.6180339969,0.6180339969,3.6180339929,4.016e-09,8.626e-10,optimal,4
65,ICRb`yiv_,10,22,3,3.6180339965,0.6180339965,3.6180339859,1.057e-08,6.799e-10,optimal,4
66,ICRb`yixo,10,22,3,3.6180339951,0.6180339951,3.6180339921,2.979e-09,6.545e-10,optimal,4
67,ICRb`yivo,10,23,3,3.6180339950,0.6180339950,3.6180339895,5.535e-09,8.051e-10,optimal,4
68,ICRb`yitw,10,23,3,3.6180339949,0.6180339949,3.6180340033,8.365e-09,7.278e-10,optimal,4
69,ICQbvP[[W,10,21,3,3.6180339942,0.6180339942,3.6180339836,1.061e-08,4.616e-10,optimal,4
70,ICRb`yi~O,10,23,3,3.6180339933,0.6180339933,3.6180339823,1.098e-08,4.111e-10,optimal,4
71,ICRb`yi|O,10,22,3,3.6180339933,0.6180339933,3.6180339889,4.391e-09,4.788e-10,optimal,4
72,ICRb`yixw,10,23,3,3.6180339918,0.6180339918,3.6180339966,4.796e-09,4.847e-10,optimal,4
73,ICQeR_{hO,10,18,3,3.5936495227,0.5936495227,3.5936495021,2.063e-08,1.150e-09,optimal,4
74,ICQv@pkco,10,19,3,3.5658187655,0.5658187655,3.5658187473,1.820e-08,1.598e-09,optimal,4
75,ICQeR_{jO,10,19,3,3.5648607800,0.5648607800,3.5648607831,3.112e-09,5.851e-10,optimal,4
76,ICQeR`[e_,10,18,3,3.5601948889,0.5601948889,3.5601948619,2.694e-08,2.241e-09,optimal,4
77,ICQbR_yRW,10,19,3,3.5600647267,0.5600647267,3.5600646827,4.404e-08,5.025e-09,optimal,4
78,ICQeR`[m_,10,19,3,3.5594522702,0.5594522702,3.5594522658,4.462e-09,1.293e-09,optimal,4
79,ICQbeT[MW,10,20,3,3.5594386348,0.5594386348,3.5594386178,1.699e-08,1.795e-09,optimal,4
80,ICRV@qk\O,10,20,3,3.5572110343,0.5572110343,3.5572110063,2.802e-08,1.969e-09,optimal,4
81,ICRbdQyso,10,21,3,3.5565471458,0.5565471458,3.5565471348,1.101e-08,1.456e-09,optimal,4
82,ICQbeo{j_,10,20,3,3.5508708757,0.5508708757,3.5508708555,2.014e-08,1.543e-09,optimal,4
83,I?`DA_wJ?,10,12,4,4.5507551524,0.5507551524,4.5507551490,3.424e-09,1.460e-09,optimal,5
84,ICQe`pcj_,10,18,3,3.5470248469,0.5470248469,3.5470248115,3.535e-08,2.145e-09,optimal,4
85,ICQeR`kMg,10,19,3,3.5466468087,0.5466468087,3.5466467805,2.825e-08,3.066e-09,optimal,4
86,ICRV@qkVG,10,20,3,3.5463924702,0.5463924702,3.5463924597,1.054e-08,8.155e-10,optimal,4
87,ICQe`psfG,10,19,3,3.5456488635,0.5456488635,3.5456488368,2.668e-08,2.708e-09,optimal,4
88,ICQbdZcmG,10,20,3,3.5456433086,0.5456433086,3.5456432668,4.174e-08,1.075e-09,optimal,4
89,ICpbbgmx_,10,21,3,3.5456343061,0.5456343061,3.5456342803,2.585e-08,4.862e-10,optimal,4
90,ICpdUg{[_,10,20,3,3.5455063997,0.5455063997,3.5455063903,9.389e-09,5.480e-10,optimal,4
91,ICQe`psx_,10,19,3,3.5437046357,0.5437046357,3.5437046037,3.200e-08,5.123e-09,optimal,4
92,ICQbdp[qo,10,20,3,3.5420745004,0.5420745004,3.5420744817,1.865e-08,8.564e-10,optimal,4
93,ICQbdW{mO,10,20,3,3.5419949572,0.5419949572,3.5419949015,5.567e-08,5.070e-09,optimal,4
94,ICQbdp[rO,10,20,3,3.5412796684,0.5412796684,3.5412796462,2.221e-08,2.261e-09,optimal,4
95,ICQVfG{j_,10,21,3,3.5409987485,0.5409987485,3.5409987351,1.346e-08,1.688e-09,optimal,4
96,ICpdPxq|?,10,21,3,3.5409908135,0.5409908135,3.5409908222,8.724e-09,3.972e-10,optimal,4
97,ICQeR`[eg,10,19,3,3.5409002022,0.5409002022,3.5409002043,2.073e-09,1.318e-09,optimal,4
98,ICpbfG{Iw,10,21,3,3.5401257741,0.5401257741,3.5401257459,2.825e-08,3.437e-09,optimal,4
99,ICQeR_{VG,10,19,3,3.5399136338,0.5399136338,3.5399136358,1.994e-09,7.677e-10,optimal,4
100,ICQeR`[mg,10,20,3,3.5397600565,0.5397600565,3.5397600360,2.052e-08,1.737e-09,optimal,4
101,ICQeR`[Ng,10,20,3,3.5397600450,0.5397600450,3.5397600344,1.058e-08,6.085e-10,optimal,4
102,ICQbdp[MW,10,20,3,3.5395820324,0.5395820324,3.5395820080,2.439e-08,1.066e-09,optimal,4
103,ICQe`psxo,10,20,3,3.5389872775,0.5389872775,3.5389872246,5.290e-08,5.756e-09,optimal,4
104,ICQb`ri^_,10,21,3,3.5389093383,0.5389093383,3.5389093529,1.466e-08,9.995e-10,optimal,4
105,ICQbdW{x_,10,20,3,3.5387484466,0.5387484466,3.5387484269,1.976e-08,6.839e-10,optimal,4
106,ICR`rjg[W,10,21,3,3.5387389831,0.5387389831,3.5387389896,6.472e-09,9.214e-10,optimal,4
107,ICRV@qkeW,10,20,3,3.5385148220,0.5385148220,3.5385148056,1.641e-08,1.197e-09,optimal,4
108,ICRV@qk\W,10,21,3,3.5382351171,0.5382351171,3.5382350773,3.978e-08,3.630e-09,optimal,4
109,ICRV@qk^G,10,21,3,3.5382350889,0.5382350889,3.5382350797,9.253e-09,1.081e-09,optimal,4
110,ICRbdQ{|O,10,22,3,3.5381728279,0.5381728279,3.5381728325,4.508e-09,2.532e-09,optimal,4
111,ICpVbqkx_,10,22,3,3.5375762518,0.5375762518,3.5375762081,4.365e-08,3.880e-09,optimal,4
112,ICQbdo{jo,10,21,3,3.5362365275,0.5362365275,3.5362365257,1.769e-09,1.003e-09,optimal,4
113,ICQbdp[ro,10,21,3,3.5359114089,0.5359114089,3.5359114044,4.451e-09,5.858e-10,optimal,4
114,ICRb`zgro,10,22,3,3.5339049478,0.5339049478,3.5339049457,2.159e-09,4.171e-10,optimal,4
115,ICpbfG{io,10,21,3,3.5329059533,0.5329059533,3.5329059621,8.830e-09,7.520e-10,optimal,4
116,ICpVbqky_,10,22,3,3.5328347941,0.5328347941,3.5328347770,1.708e-08,1.742e-09,optimal,4
117,ICQbdp[f_,10,20,3,3.5308006520,0.5308006520,3.5308006387,1.333e-08,2.259e-09,optimal,4
118,ICQb`qu|?,10,20,3,3.5304839411,0.5304839411,3.5304838845,5.661e-08,4.497e-09,optimal,4
119,I?`D@`WJ?,10,12,4,4.5301102079,0.5301102079,4.5301101884,1.957e-08,1.818e-09,optimal,5
120,ICQb`rsn_,10,21,3,3.5293200273,0.5293200273,3.5293200194,7.879e-09,1.006e-09,optimal,4
121,ICQe`psj_,10,19,3,3.5290699222,0.5290699222,3.5290699140,8.161e-09,6.211e-10,optimal,4
122,ICQbdrSNG,10,20,3,3.5279138441,0.5279138441,3.5279138330,1.117e-08,7.774e-10,optimal,4
123,I?`DB_[U?,10,13,4,4.5256449825,0.5256449825,4.5256448991,8.344e-08,5.937e-09,optimal,5
124,ICQbfP[mO,10,20,3,3.5239253289,0.5239253289,3.5239253256,3.309e-09,5.364e-10,optimal,4
125,ICQv@pk\G,10,20,3,3.5235904645,0.5235904645,3.5235904447,1.974e-08,8.419e-10,optimal,4
126,ICRVBiwjO,10,21,3,3.5235872166,0.5235872166,3.5235871925,2.410e-08,1.515e-09,optimal,4
127,I?`D@`WN?,10,13,4,4.5233006890,0.5233006890,4.5233006509,3.812e-08,1.721e-09,optimal,5
128,ICp`eq[qg,10,20,3,3.5231484842,0.5231484842,3.5231484523,3.187e-08,1.517e-09,optimal,4
129,ICQbdW{xg,10,21,3,3.5228685673,0.5228685673,3.5228684992,6.810e-08,5.664e-09,optimal,4
130,ICQbdW{|G,10,21,3,3.5228685134,0.5228685134,3.5228685035,9.913e-09,1.430e-09,optimal,4
131,ICRbdQ{^G,10,22,3,3.5224077792,0.5224077792,3.5224077593,1.985e-08,3.271e-09,optimal,4
132,ICRbdQ{Ng,10,22,3,3.5224077656,0.5224077656,3.5224077468,1.880e-08,1.369e-09,optimal,4
133,ICpdPxqIw,10,21,3,3.5214847398,0.5214847398,3.5214847376,2.229e-09,1.068e-09,optimal,4
134,ICQbdq]to,10,22,3,3.5214290779,0.5214290779,3.5214290785,6.502e-10,1.854e-09,optimal,4
135,ICRb`ymxo,10,23,3,3.5213797097,0.5213797097,3.5213797055,4.137e-09,4.468e-10,optimal,4
136,ICQeR_{h_,10,18,3,3.5201502774,0.5201502774,3.5201502521,2.526e-08,2.674e-09,optimal,4
137,ICQeR_{j_,10,19,3,3.5187628207,0.5187628207,3.5187628219,1.208e-09,2.463e-09,optimal,4
138,ICQbfP[eW,10,20,3,3.5184714756,0.5184714756,3.5184714755,1.115e-11,5.745e-10,optimal,4
139,ICQbfP[mW,10,21,3,3.5176174593,0.5176174593,3.5176174070,5.225e-08,4.785e-09,optimal,4
140,I?`@f?[Y?,10,13,4,4.5173494681,0.5173494681,4.5173494429,2.527e-08,1.463e-09,optimal,5
141,ICpdPxq|_,10,22,3,3.5170927387,0.5170927387,3.5170927132,2.554e-08,1.504e-09,optimal,4
142,ICpVbqkz_,10,23,3,3.5170172750,0.5170172750,3.5170172793,4.361e-09,9.911e-10,optimal,4
143,ICRbeo{j_,10,21,3,3.5170172747,0.5170172747,3.5170172934,1.867e-08,6.601e-10,optimal,4
144,ICQbfI{mO,10,21,3,3.5156614977,0.5156614977,3.5156614945,3.188e-09,1.005e-09,optimal,4
145,I?`DB`Wl?,10,14,4,4.5153978361,0.5153978361,4.5153978242,1.185e-08,1.480e-09,optimal,5
146,ICQbRbKMg,10,19,3,3.5152779080,0.5152779080,3.5152779064,1.619e-09,4.801e-10,optimal,4
147,ICRbdQy{o,10,22,3,3.5151931531,0.5151931531,3.5151931768,2.367e-08,2.913e-10,optimal,4
148,ICQbR_yrO,10,19,3,3.5146079794,0.5146079794,3.5146079446,3.485e-08,4.197e-09,optimal,4
149,ICp`fQ[r_,10,20,3,3.5135422504,0.5135422504,3.5135422147,3.569e-08,2.567e-09,optimal,4
150,ICQb`rKy_,10,19,3,3.5117053626,0.5117053626,3.5117053601,2.471e-09,2.644e-09,optimal,4
151,ICQbeo{jO,10,20,3,3.5116985531,0.5116985531,3.5116984759,7.723e-08,5.332e-09,optimal,4
152,ICRbcqhn?,10,20,3,3.5116910066,0.5116910066,3.5116909850,2.161e-08,6.819e-10,optimal,4
153,I?`D@`gF_,10,13,4,4.5108697530,0.5108697530,4.5108696933,5.965e-08,3.207e-09,optimal,5
154,ICpbfG{dW,10,21,3,3.5102586780,0.5102586780,3.5102586709,7.086e-09,8.425e-10,optimal,4
155,I?`@f@WFO,10,14,4,4.5094845156,0.5094845156,4.5094845065,9.067e-09,1.755e-09,optimal,5
156,I?`FBQodO,10,15,4,4.5087469722,0.5087469722,4.5087469607,1.144e-08,5.439e-10,optimal,5
157,ICpbfG{tO,10,21,3,3.5077215939,0.5077215939,3.5077215533,4.067e-08,3.995e-09,optimal,4
158,ICQeR_{xO,10,19,3,3.5071242876,0.5071242876,3.5071242816,6.062e-09,1.977e-09,optimal,4
159,ICQb`rkf_,10,20,3,3.5069027309,0.5069027309,3.5069027088,2.208e-08,1.567e-09,optimal,4
160,ICQbQpqMO,10,18,3,3.5065612351,0.5065612351,3.5065611669,6.823e-08,5.400e-09,optimal,4
161,ICRbeo{jO,10,21,3,3.5065011632,0.5065011632,3.5065011289,3.431e-08,2.909e-09,optimal,4
162,ICQbR_yVO,10,19,3,3.5062959453,0.5062959453,3.5062958910,5.435e-08,4.268e-09,optimal,4
163,ICpbfG{RW,10,21,3,3.5059141856,0.5059141856,3.5059141421,4.350e-08,3.443e-09,optimal,4
164,ICQb`riVO,10,20,3,3.5058580931,0.5058580931,3.5058580842,8.850e-09,1.102e-09,optimal,4
165,ICQeR_{zO,10,20,3,3.5055410033,0.5055410033,3.5055409783,2.497e-08,1.196e-09,optimal,4
166,I?`@f?[]?,10,14,4,4.5052926461,0.5052926461,4.5052926290,1.708e-08,1.888e-09,optimal,5
167,ICpVbqkqg,10,22,3,3.5051060263,0.5051060263,3.5051060147,1.167e-08,1.625e-09,optimal,4
168,ICpbfG{VW,10,22,3,3.5041098644,0.5041098644,3.5041098379,2.649e-08,4.625e-09,optimal,4
169,ICpbfG{tW,10,22,3,3.5041098203,0.5041098203,3.5041098234,3.097e-09,4.681e-10,optimal,4
170,I?b@f@WF?,10,14,4,4.5041066901,0.5041066901,4.5041066498,4.029e-08,2.331e-09,optimal,5
171,ICQbdrKf_,10,20,3,3.5032929871,0.5032929871,3.5032929596,2.752e-08,3.005e-09,optimal,4
172,ICQbR_yUW,10,19,3,3.5028432635,0.5028432635,3.5028432131,5.038e-08,5.154e-09,optimal,4
173,ICQbRd[Mg,10,20,3,3.5028381475,0.5028381475,3.5028380822,6.534e-08,4.870e-09,optimal,4
174,ICQe`pdj_,10,19,3,3.5024655945,0.5024655945,3.5024655637,3.084e-08,4.856e-09,optimal,4
175,ICQbeS{Z_,10,20,3,3.5017843288,0.5017843288,3.5017843285,2.052e-10,6.906e-10,optimal,4
176,ICQbR_yVW,10,20,3,3.5011085537,0.5011085537,3.5011085113,4.233e-08,3.998e-09,optimal,4
177,ICQbR_yrW,10,20,3,3.5011085370,0.5011085370,3.5011085142,2.281e-08,1.887e-09,optimal,4
178,ICQb`riVo,10,21,3,3.5011049672,0.5011049672,3.5011049735,6.378e-09,8.603e-10,optimal,4
179,ICOedrKV_,10,19,3,3.5009941759,0.5009941759,3.5009941643,1.154e-08,8.728e-10,optimal,4
180,ICQeV`[m_,10,20,3,3.5008017597,0.5008017597,3.5008017486,1.109e-08,6.989e-10,optimal,4
181,ICQbcs{jO,10,20,3,3.5007286747,0.5007286747,3.5007286540,2.072e-08,1.491e-09,optimal,4
182,ICQfep[MW,10,21,3,3.5006981753,0.5006981753,3.5006981692,6.106e-09,1.513e-09,optimal,4
183,ICRbcqhsg,10,20,3,3.5006981750,0.5006981750,3.5006981487,2.627e-08,1.510e-09,optimal,4
184,ICRVDXweg,10,21,3,3.5006183759,0.5006183759,3.5006183512,2.469e-08,2.321e-09,optimal,4
185,ICrb`rimg,10,23,3,3.5000000378,0.5000000378,3.5000000021,3.575e-08,3.014e-09,optimal,4
186,ICpdQiqZ?,10,19,3,3.5000000319,0.5000000319,3.5000000091,2.276e-08,2.847e-09,optimal,4
187,IUZurzmmo,10,30,2,2.5000000143,0.5000000143,2.4999999960,1.835e-08,9.565e-10,optimal,3
188,ICpdQiq^?,10,20,3,3.5000000098,0.5000000098,3.5000000031,6.719e-09,1.222e-09,optimal,4
189,ICpdQjqNO,10,21,3,3.5000000070,0.5000000070,3.4999999984,8.613e-09,2.593e-09,optimal,4
190,I?b@f?[]?,10,15,4,4.4997070035,0.4997070035,4.4997069112,9.239e-08,5.948e-09,optimal,5
191,I?`D@`wF_,10,14,4,4.4993122953,0.4993122953,4.4993122800,1.532e-08,3.660e-09,optimal,5
192,ICQbeo{ho,10,20,3,3.4988637044,0.4988637044,3.4988636489,5.555e-08,3.806e-09,optimal,4
193,ICQbeT[JW,10,20,3,3.4985080202,0.4985080202,3.4985079700,5.019e-08,4.717e-09,optimal,4
194,ICRbdrUf_,10,22,3,3.4981307810,0.4981307810,3.4981307700,1.099e-08,4.207e-10,optimal,4
195,ICQbeo{jo,10,21,3,3.4980404207,0.4980404207,3.4980403973,2.342e-08,2.120e-09,optimal,4
196,ICQv@rKcw,10,20,3,3.4979322367,0.4979322367,3.4979321888,4.784e-08,5.088e-09,optimal,4
197,ICQbeS{VG,10,20,3,3.4978842518,0.4978842518,3.4978842392,1.265e-08,1.069e-09,optimal,4
198,ICpbfG{Kw,10,21,3,3.4970752360,0.4970752360,3.4970752021,3.391e-08,3.284e-09,optimal,4
199,ICQe`pc[g,10,18,3,3.4969240999,0.4969240999,3.4969240305,6.943e-08,4.026e-09,optimal,4
200,ICRVDXw\G,10,21,3,3.4965241209,0.4965241209,3.4965241166,4.369e-09,1.318e-09,optimal,4
201,ICQbdW{ko,10,20,3,3.4962927527,0.4962927527,3.4962927172,3.547e-08,4.855e-09,optimal,4
202,ICR`uiw[W,10,21,3,3.4962830587,0.4962830587,3.4962830536,5.116e-09,1.381e-09,optimal,4
203,ICQvDXwVO,10,21,3,3.4962662994,0.4962662994,3.4962662822,1.717e-08,1.838e-09,optimal,4
204,ICQbdp[fg,10,21,3,3.4962632407,0.4962632407,3.4962632220,1.864e-08,2.059e-09,optimal,4
205,ICQbdp[v_,10,21,3,3.4962632312,0.4962632312,3.4962632116,1.962e-08,1.141e-09,optimal,4
206,ICQbdW{}O,10,21,3,3.4961273854,0.4961273854,3.4961273600,2.537e-08,3.210e-09,optimal,4
207,ICQbdW{mo,10,21,3,3.4961273798,0.4961273798,3.4961273537,2.604e-08,2.433e-09,optimal,4
208,ICRbdQ{to,10,22,3,3.4961218174,0.4961218174,3.4961217753,4.214e-08,3.172e-09,optimal,4
209,ICpfdg{io,10,22,3,3.4960261904,0.4960261904,3.4960261779,1.250e-08,1.722e-09,optimal,4
210,ICRbeo{ho,10,21,3,3.4954153256,0.4954153256,3.4954153129,1.264e-08,1.092e-09,optimal,4
211,I?`@f@wFO,10,15,4,4.4950682453,0.4950682453,4.4950682137,3.163e-08,2.659e-09,optimal,5
212,ICOfdrKV_,10,20,3,3.4948991864,0.4948991864,3.4948991793,7.080e-09,3.941e-10,optimal,4
213,I?`@d`gF?,10,13,4,4.4948307717,0.4948307717,4.4948307673,4.413e-09,1.261e-09,optimal,5
214,ICQfdp[r_,10,21,3,3.4941201696,0.4941201696,3.4941201472,2.240e-08,2.995e-09,optimal,4
215,ICpVV_{l_,10,22,3,3.4926258160,0.4926258160,3.4926257992,1.686e-08,1.238e-09,optimal,4
216,ICQbfIwj_,10,20,3,3.4918178639,0.4918178639,3.4918178382,2.572e-08,1.648e-09,optimal,4
217,ICRbeo{jo,10,22,3,3.4904620731,0.4904620731,3.4904620608,1.223e-08,1.499e-09,optimal,4
218,ICpbfGm^?,10,21,3,3.4898298465,0.4898298465,3.4898298161,3.037e-08,3.349e-09,optimal,4
219,ICQbeT[eW,10,20,3,3.4895072925,0.4895072925,3.4895072751,1.743e-08,8.653e-10,optimal,4
220,ICQ`fI[t_,10,19,3,3.4891767578,0.4891767578,3.4891767619,4.072e-09,6.946e-10,optimal,4
221,ICQv@pkRo,10,20,3,3.4890388841,0.4890388841,3.4890388720,1.204e-08,4.247e-10,optimal,4
222,ICQbQprMo,10,20,3,3.4887010847,0.4887010847,3.4887010717,1.306e-08,6.213e-10,optimal,4
223,ICRb`zgj_,10,21,3,3.4886415798,0.4886415798,3.4886415673,1.253e-08,1.003e-09,optimal,4
224,ICRbdq]to,10,23,3,3.4885261319,0.4885261319,3.4885261325,6.289e-10,8.556e-10,optimal,4
225,ICQbfImmO,10,21,3,3.4883877747,0.4883877747,3.4883877348,3.992e-08,4.984e-09,optimal,4
226,ICQbeT[mW,10,21,3,3.4875589743,0.4875589743,3.4875589799,5.547e-09,4.949e-10,optimal,4
227,ICQbeT[NW,10,21,3,3.4875589727,0.4875589727,3.4875589778,5.121e-09,5.017e-10,optimal,4
228,ICQb`rKl_,10,19,3,3.4872720453,0.4872720453,3.4872720334,1.188e-08,1.799e-09,optimal,4
229,ICQbRfKMg,10,20,3,3.4872446793,0.4872446793,3.4872446542,2.510e-08,1.953e-09,optimal,4
230,ICQb`qu~?,10,21,3,3.4872416944,0.4872416944,3.4872416494,4.496e-08,4.634e-09,optimal,4
231,ICQb`qu|O,10,21,3,3.4872416626,0.4872416626,3.4872416634,7.683e-10,9.242e-10,optimal,4
232,ICQe`pcq_,10,17,3,3.4861427916,0.4861427916,3.4861427900,1.607e-09,1.427e-09,optimal,4
233,ICQeR_{e_,10,18,3,3.4861144784,0.4861144784,3.4861144538,2.456e-08,1.454e-09,optimal,4
234,ICQbQzoM_,10,19,3,3.4860590931,0.4860590931,3.4860590598,3.327e-08,4.464e-09,optimal,4
235,ICQb`q}|O,10,22,3,3.4859477401,0.4859477401,3.4859476874,5.280e-08,3.936e-09,optimal,4
